,username,public_repos,forked_repo_ratio,commit_count_last_6m,stars_total,followers,pull_requests_merged,avg_stars_per_repo,following,pull_requests_opened,issues_opened,readme_presence_ratio,cluster_label
38,dwest,1,0.9700744566667069,22,14,13,0,27.12087134405921,76,3,0,0.00012049090171357996,Cluster_3
39,fosterlinda,9,0.8650710993753938,214,5,13,26,0.0,0,28,31,0.0008497711110280154,Cluster_2
40,uyoung,22,0.6007921493396191,336,201,121,31,34.05086518842358,54,4,0,0.0012456807397557823,Cluster_3
41,garciamadison,9,0.7008656972438799,286,88,56,36,29.265764883804195,21,0,0,0.0009433316559484174,Cluster_1
42,linstephanie,6,0.28520580268041407,105,146,29,7,18.968734626537604,69,3,0,0.00032932378432604104,Cluster_1
43,rosalesjeffery,4,0.6307704201726206,0,1,19,9,60.224682110049294,106,37,0,0.00011131955311111097,Cluster_1
44,cookjessica,0,0.45564954943987745,7,24,4,4,inf,9,0,0,0.0,Cluster_1
45,whitakerpatrick,2,0.4820173397769325,41,20,0,13,0.0,0,0,8,8.136770534755168e-05,Cluster_1
46,beasleyandrew,3,0.757776560375158,55,19,23,3,21.256814407334296,0,69,0,0.00014133717010094196,Cluster_1
47,ayersemily,36,0.28191835559725165,769,10,66,78,1.5950391041729222,0,26,42,0.0028952055529187113,Cluster_1
48,jenniferchristian,12,0.3180396116945199,277,17,17,22,0.0,0,0,20,0.000630872737373659,Cluster_2
49,harrisemily,0,0.9246417911286366,14,152,9,5,inf,0,23,0,0.0,Cluster_2
50,lisagonzales,12,0.056224294850972245,262,1,40,30,19.981200031100915,0,0,0,0.0005774383598088772,Cluster_2
51,destinyalvarez,4,0.4856342984133404,74,811,17,19,190.79109070751733,62,0,21,0.0002900618231262789,Cluster_1
52,anixon,2,0.9128008004078617,128,79,251,15,37.46247289925896,146,11,25,0.00011432088691743911,Cluster_1
53,kathryn43,18,0.610363007818157,286,30,127,32,0.0,50,0,15,0.0020539668390998967,Cluster_3
54,heatherwatson,34,0.5464070742121321,686,169,84,66,0.0,97,20,0,0.004398350201233971,Cluster_2
55,amysanchez,29,0.2497441792293552,583,2,62,61,0.0,0,24,60,0.003917916301108785,Cluster_2
56,david08,2,0.34327548906444827,80,10,2,6,12.76364585448303,0,5,0,0.00012333458529722357,Cluster_1
57,mark43,4,0.8520484158046929,37,26,54,4,0.0,0,0,5,0.00034751771905144825,Cluster_3
58,clinepaul,12,0.5592181317684581,152,386,35,16,32.50506265000167,56,6,9,0.00043581068753529586,Cluster_1
59,twhite,31,0.5147421937567799,627,30,49,60,0.0,0,28,56,0.005790383308628225,Cluster_2
60,jamiewallace,3,0.09957971354002892,74,74,42,7,52.71391973567117,21,0,3,0.00034882710999727617,Cluster_3
61,sethleonard,5,0.01602815645512312,174,11,39,15,61.055052920108736,69,0,10,0.0006490044738658879,Cluster_2
62,jennifer37,1,0.9636851886870491,0,79,1154,0,71.81441930092569,645,0,0,7.808618453274887e-05,Cluster_2
63,hawkinsbeth,1,0.37698616728684164,77,677,17,13,642.5554287857361,7,22,0,4.625841105078238e-05,Cluster_3
64,edwardsstephen,24,0.6032130620995043,598,198,81,60,10.58753939837133,59,0,0,0.0019970957701464227,Cluster_3
65,muellerashley,56,0.07971507318728499,1101,28,9,111,0.0,0,52,32,0.013704209614198201,Cluster_3
66,prattphillip,6,0.6831142857230466,55,111,65,0,57.92701298002581,116,14,0,0.0005044814159018587,Cluster_1
67,valdezemily,33,0.9325667087059609,639,93,82,66,36.14996868569267,32,8,13,0.0040765910207521405,Cluster_1
68,xsantos,12,0.5756652529974197,240,82,34,26,24.14083274526462,21,0,3,0.0018889700971459174,Cluster_1
69,kyle50,2,0.12611532237541057,68,245,245,4,110.76611837574683,102,0,3,4.163764079486948e-05,Cluster_1
70,larrymarshall,12,0.5817215274734767,210,241,5,31,33.6386646569494,62,29,0,0.001349513129788145,Cluster_1
71,smorgan,74,0.7663472131046524,1557,26,9,144,5.651478532717433,14,74,70,0.01578209068411191,Cluster_3
72,ybenson,7,0.40641653657401866,84,105,27,12,19.826464065987814,51,0,11,0.0005412512288313286,Cluster_3
73,michelle87,77,0.8798377479414679,1453,16,75,148,0.0,55,72,13,0.020508134742600388,Cluster_1
74,martindanielle,0,0.6486829533573645,55,6,26,8,inf,1,20,63,0.0,Cluster_2
75,larsenjeffrey,25,0.8992489182892025,386,20,138,39,2.9561665662247023,115,12,1,0.005150866740840759,Cluster_2
76,courtney06,8,0.6235053112473372,149,28,7,17,1.483173049108498,20,0,0,0.001286572741739581,Cluster_3
77,goodmanjamie,4,0.13128797200482423,235,1,3,27,0.0,0,0,0,0.00038200673134828207,Cluster_2
78,lorigay,8,0.3096917111051891,159,155,31,12,3.5026700069324495,0,58,0,0.0018192555810550813,Cluster_1
79,wilsonlonnie,0,0.20179494825245692,0,0,17,1,,15,5,36,0.0,Cluster_1
80,shanewatkins,5,0.9088264977168623,97,4388,45,8,842.6167439628384,67,42,52,0.000589690219953285,Cluster_2
81,ashleyeric,12,0.7604000672874827,237,494,19,18,56.95664185966751,91,13,26,0.0017658083674637307,Cluster_1
82,meganjohnson,67,0.676398368910006,1348,20,12,138,0.0,0,19,25,0.008530429541641639,Cluster_2
83,kevin30,3,0.3009663196316217,93,33,17,6,0.0,9,19,42,0.00011030987935187497,Cluster_3
84,davidhayes,2,0.18404477205021352,0,57,20,0,64.93790631852042,34,65,32,7.014249924809262e-05,Cluster_2
85,frederick20,3,0.7564510879889118,144,11,12,11,0.0,20,0,10,0.0002734455172640535,Cluster_1
86,andrew72,29,0.47415794587907967,592,46,14,55,0.0,57,41,4,0.003800321196156307,Cluster_3
87,ylewis,12,0.22578955215062912,276,25,10,32,24.774099953494822,37,11,2,0.0015731007440945033,Cluster_2
88,donnalopez,3,0.6166219781652751,28,27,72,3,46.08861801033282,0,0,11,0.00022311551536463944,Cluster_1
89,pamelabean,15,0.040333852138451975,364,45,26,43,0.0,0,0,0,0.0014640625365533713,Cluster_1
90,qmiles,8,0.3261702541282535,147,3,592,11,0.0,311,0,0,0.0012612922238667073,Cluster_1
91,richardsonmichael,31,0.46855699459113465,633,35,25,67,0.0,62,25,19,0.003260209396011625,Cluster_2
92,wjimenez,2,0.14795833410940584,0,44,8,14,40.696033253913086,11,27,14,0.0001343490843170516,Cluster_3
93,brendawiggins,4,0.9846544775908396,30,41,1103,4,43.032642558590666,472,0,0,0.0002459425242125586,Cluster_2
94,crystalkelly,4,0.20909736458961425,114,22,37,15,0.0,0,21,27,0.0003254175784712042,Cluster_1
95,sandraparker,0,0.13035313004326554,0,256,88,3,inf,78,0,0,0.0,Cluster_2
96,qsmith,11,0.2035348738868964,177,17,48,10,0.0,6,5,0,0.0011780310384533995,Cluster_3
97,cindyleach,10,0.7690611331597242,167,49,51,19,11.622458058911445,31,22,42,0.000493935265329772,Cluster_2
98,hollybrown,7,0.4255056592718428,174,342,44,18,23.4280688685865,75,55,59,0.0003645281008444771,Cluster_3
99,kellytammy,5,0.565415939752538,68,28,3,5,3.16139172836004,0,11,0,0.0003457963946665953,Cluster_3
100,llin,0,0.021009156986360744,0,48,34,0,inf,0,0,0,0.0,Cluster_1
101,michaelsmith,3,0.034431308573314556,60,27,2,9,2.696833873694527,0,0,21,0.0003261846190852768,Cluster_3
102,dreyes,4,0.44582554982701617,0,307,15,0,84.44941962639395,25,27,17,0.0005565539253670096,Cluster_3
103,ronaldpage,2,0.8166552432016235,0,20,6,10,0.0,41,27,29,0.00023966148519289935,Cluster_2
104,moorestephen,5,0.8852388787075652,116,333,34,12,48.92553403626316,0,22,25,0.00062322426207048,Cluster_1
105,bowmanhelen,13,0.08670656759564022,223,27,33,16,10.834365975910186,16,0,0,0.00162397980865471,Cluster_2
106,justin99,125,0.5383631021010228,2552,7,41,252,26.896706619514575,63,21,25,0.005824054785631481,Cluster_1
107,udavis,9,0.9132296862792705,228,112,30,21,11.988170563485985,0,22,0,0.0006098577299691674,Cluster_2
108,ramoskevin,10,0.38797275439788637,235,19,8,35,11.97341546924345,0,0,9,0.0007102561958378383,Cluster_2
109,harperannette,6,0.8295658314283686,210,101,13,16,31.994933539280137,0,23,11,0.00045514315559414274,Cluster_3
110,john71,0,0.1336956543994362,0,0,79,0,,7,20,2,0.0,Cluster_3
111,douglaskoch,7,0.9353944896677987,172,33,99,14,0.0,0,0,0,0.0011223122761767265,Cluster_1
112,eyang,8,0.7514233175313026,130,14,3,15,0.0,71,0,3,0.00036992204479535255,Cluster_2
113,sergio25,297,0.9413343927869017,6062,4,2,603,0.0,0,154,93,0.017989321300816447,Cluster_1
114,roberttorres,5,0.6766172335525065,199,12,6,14,40.97267601787929,0,0,0,0.0004153914910955774,Cluster_3
115,anne12,11,0.363403931999427,220,11,96,21,11.16385878343808,64,0,0,0.0007788922728132602,Cluster_3
116,ccunningham,7,0.9381811725247224,159,30,124,14,13.552028693414623,9,2,0,0.0012944064365711875,Cluster_1
117,brownnorma,1,0.2755667763091785,87,2,5,5,9.324715063674772,0,2,0,6.321151421339128e-05,Cluster_2
118,ugonzales,41,0.33217252206173253,812,58,31,78,0.0,91,61,44,0.009003296530099538,Cluster_2
119,ryan31,22,0.7008084180017403,407,387,314,46,56.35471850644987,247,0,46,0.004147954761672313,Cluster_1
120,nicholas10,24,0.7653162995253863,523,54,37,50,11.833750615739213,0,44,25,0.0019221634875051412,Cluster_3
121,hjacobs,1,0.9294034838491538,23,142,169,0,156.46320225309904,137,0,0,0.00015042857860007663,Cluster_2
122,gardneradam,60,0.2048024090562095,1209,237,89,118,0.0,62,0,0,0.008671672906210709,Cluster_3
123,swilson,0,0.797998035219224,0,306,5,0,inf,0,0,31,0.0,Cluster_2
124,stewartfrank,17,0.7385460533969634,254,959,15,18,49.28751570332982,0,0,0,0.001045511642310759,Cluster_1
125,nsmith,197,0.06379455625359787,3951,13,21,403,0.0,88,57,62,0.02004163823734144,Cluster_1
126,steven89,1,0.38722314121020696,65,9,23,10,0.0,0,58,39,0.00012858423121147434,Cluster_1
127,vburton,3,0.2827654570600986,48,135,79,11,19.702115830932673,153,0,16,0.00039822373419163014,Cluster_3
128,tschultz,8,0.3044904243540304,231,118,37,25,0.0,0,73,90,0.0002927489147453761,Cluster_3
129,vcollins,3,0.9829468795547008,24,133,0,0,45.544289740617536,79,0,0,0.0002000818789466915,Cluster_3
130,terrifitzpatrick,0,0.6427774134799279,0,992,2,7,inf,0,0,22,0.0,Cluster_1
131,ljones,8,0.7176761577934996,156,33,0,11,10.806387243227746,39,42,22,6.427289427343361e-05,Cluster_1
132,susan51,1,0.9766176373150092,15,71,26,0,104.51951742136009,82,0,0,8.3911180925242e-05,Cluster_3
133,luismurphy,15,0.3772017824576387,338,5,28,34,0.0,83,11,4,0.0008178932188669289,Cluster_3
134,taylornicole,1,0.8018401684528059,0,1546,30,6,1501.1022141208314,0,0,42,0.00016125078870125894,Cluster_1
135,oharris,75,0.43453096330449537,1568,18,4,162,0.0,0,36,54,0.0018717446683421714,Cluster_2
136,mroberts,2,0.8695336718149798,138,19,55,18,33.367888727957435,23,0,0,0.00040861327098224267,Cluster_1
137,morganbarnett,4,0.18065754131130318,78,17,58,6,2.531210550063403,0,0,0,0.0005638486150107426,Cluster_3
138,alittle,25,0.9476861770642796,562,10,3,54,30.986613073834036,13,0,23,0.0031377383990775507,Cluster_3
139,heatherpadilla,1,0.21877170841087967,0,8,2,1,17.058831862756374,0,7,3,6.123229548677876e-05,Cluster_1
140,rsanchez,10,0.3262205069809315,253,12,20,24,0.0,64,23,13,0.0015472514094413599,Cluster_2
141,dcooper,52,0.7561922341067805,1092,2,295,113,2.2301065472287074,118,33,0,0.009584326877567273,Cluster_2
142,nicolewilkerson,0,0.3937551415654067,43,8,257,8,inf,41,13,0,0.0,Cluster_1
143,steven80,9,0.6082113767664467,179,1105,46,20,144.38489380325063,93,1,0,0.0016514392794374636,Cluster_3
144,laurengarcia,10,0.4445735010694285,52,124,6,0,48.79273143223136,12,0,0,0.0012080336466248074,Cluster_2
145,morrismatthew,23,0.7423699370897818,427,175,75,43,25.763206046347896,38,25,0,0.0033748209191026023,Cluster_1
146,nielsenthomas,1,0.22833125236861085,0,275,10,0,283.80959594774436,59,0,0,0.000118175722623638,Cluster_2
147,heathermarshall,1,0.05845798723687701,0,899,6,0,912.523765431567,46,0,0,0.00021389937053630073,Cluster_3
148,zreilly,16,0.29992939747306624,326,1,0,28,0.0,0,19,0,0.0008422323225425831,Cluster_1
149,johnsmith,11,0.47430866486843026,199,3,23,13,0.0,0,0,25,0.0006504767740231264,Cluster_1
150,woodwardbrian,10,0.16802005219267857,158,7,7,18,1.5299217244572043,0,47,5,0.0006229460734484268,Cluster_3
151,igomez,12,0.3547972896563887,187,14,23,16,8.47247321584478,0,0,35,0.0023297928147736555,Cluster_2
152,jacob72,2,0.3999830182935685,4,19,0,3,0.0,28,4,0,0.00014902454593821446,Cluster_2
153,kim81,10,0.05739184368827355,256,14,25,22,27.932432789998828,32,3,12,0.00034084869875153665,Cluster_2
154,megan95,11,0.5833072481842045,186,49,0,25,24.562765764194076,38,25,26,0.0007209634840854929,Cluster_1
155,tiffanymartinez,2,0.8843434279712875,14,35,102,6,0.0,115,11,0,0.00017463610013719095,Cluster_1
156,carmenwagner,121,0.15174291295305242,2397,9,43,241,27.391025941086745,60,59,27,0.008713174458581883,Cluster_2
157,ronald48,15,0.597808013401514,316,0,13,30,0.0,49,50,17,0.0030452696933701414,Cluster_2
158,kingbryan,1,0.6647392049108463,42,5,46,8,0.0,0,0,9,0.00013314847302457834,Cluster_1
159,thomas92,19,0.41933468041928834,227,12,4,24,22.21713280229894,0,46,24,0.0016383126763513023,Cluster_1
160,karenjones,1,0.70109758736427,71,21,22,8,19.978911744798836,59,28,0,7.757184125853715e-05,Cluster_1
161,david48,24,0.41073154349101204,551,4,66,60,38.15037308340406,0,0,2,0.0036202710649275334,Cluster_2
162,hillandrea,42,0.5046372879774349,787,13,0,85,0.0,4,48,37,0.005032595509382612,Cluster_1
163,diana63,2,0.00735304455442698,0,4,10,0,0.0,30,32,65,4.304500592556524e-05,Cluster_3
164,ronald93,31,0.6917201141346888,597,26,19,54,0.0,31,32,20,0.0015527087914948938,Cluster_3
165,karen22,13,0.6613426789447244,222,4,14,18,16.092142288901762,25,0,0,0.00021624078396736369,Cluster_1
166,kayla07,25,0.03840087732634456,511,7,178,43,0.0,118,32,29,0.004214129953219182,Cluster_1
167,gutierrezlarry,127,0.3682501073951331,2442,3,3,243,0.0,10,93,32,0.010307579261934046,Cluster_3
168,nicholascampbell,5,0.9790318407916674,44,25,7,7,9.578548054055082,0,0,0,0.0008478494608932948,Cluster_1
169,eharrell,2,0.4207365625686168,116,6,1,11,0.0,25,14,0,0.00018219337030521047,Cluster_1
170,emmamorgan,1,0.5019454051318417,0,169,193,0,175.13385399226829,110,0,26,0.00011690598066245603,Cluster_3
171,mcdanieltiffany,2,0.9099301581597186,102,68,13,15,27.187538975436457,0,27,47,0.00023947552916658022,Cluster_2
172,sarah58,6,0.7172618758657564,137,29,10,14,14.7226631003808,73,0,0,0.00022908199296032059,Cluster_2
173,rbautista,12,0.5820701311242236,149,7,18,16,0.0,35,0,16,0.001946136010330283,Cluster_3
174,reidjessica,11,0.7978046813410725,251,65,52,30,31.872353937968985,0,4,0,0.000544813932765451,Cluster_3
175,gibbsmelinda,25,0.8643662664559733,494,114,33,48,0.8993103001262028,0,0,11,0.002373923059189528,Cluster_1
176,peterduran,7,0.45688807173726687,117,42,1066,22,21.27045335809646,504,0,9,0.0011314325924194082,Cluster_1
177,trevinocandice,65,0.4751083649318354,1312,593,39,128,28.32058614877471,0,43,0,0.00470777752013015,Cluster_2
178,gallaghernancy,4,0.3860509356518358,103,75,9,20,0.0,19,28,41,0.0005597217170278169,Cluster_2
179,vasquezmatthew,437,0.9667061400184606,8775,171,8,872,18.036454539987613,0,225,178,0.08918553344069172,Cluster_2
180,dylan46,18,0.6971662542903504,418,42,11,44,0.0,61,0,0,0.0026830304121609775,Cluster_3
181,jennifer03,2,0.0832230662080723,60,111,2,2,28.097245144802145,53,41,28,0.0003409773538403122,Cluster_3
182,wgilbert,1,0.8629596233130185,0,7,21,5,46.27998471976869,41,43,62,0.00018585242893019762,Cluster_3
183,garciatraci,15,0.4805599408362681,276,14,65,25,23.170400709265824,34,10,0,0.0009832457887401088,Cluster_1
184,hjohnson,5,0.06875390642248747,247,62,8,26,53.8732835086751,50,0,0,0.0003940101777148463,Cluster_2
185,ggreen,21,0.549717255163311,456,61,5,42,0.0,0,0,0,0.0006231132366866982,Cluster_2
186,pittssharon,15,0.4171642789757021,418,82,195,46,7.5152399482268395,61,1,1,0.0029022938699418245,Cluster_3
187,klevy,6,0.8777494048626249,189,240,2,15,50.54709493504727,60,11,7,0.0003884127699140888,Cluster_1
188,andersonvictoria,2,0.20399460360938737,52,2,0,13,0.7560886681221126,15,0,0,0.0001931766043766535,Cluster_1
189,kvaughn,0,0.8264646094921829,15,5,3,0,inf,0,0,0,0.0,Cluster_2
190,wrightsharon,3,0.5576886911854527,58,50,1,0,0.0,0,32,5,0.000435690459929219,Cluster_2
191,kingoscar,26,0.05461030321346905,433,8,35,48,4.584936964271299,0,20,0,0.004665605755023761,Cluster_1
192,kimberly79,10,0.9718453013254846,200,14472,11,17,1425.862803166754,106,0,0,0.0013393845682109725,Cluster_1
193,shepherdmelinda,1,0.5126152441031999,80,83,14,7,61.10273015266295,7,9,0,0.00010944124121007445,Cluster_3
194,lisahess,9,0.2908768542315825,150,28,113,13,10.982551334202965,64,9,0,0.0008890577079212148,Cluster_2
195,timothy25,13,0.4694068419892581,280,13,7,21,0.0,39,0,0,0.00017832243447755283,Cluster_3
196,johnnygomez,1,0.857857783517489,62,13,64,5,31.744125411633703,0,36,0,5.398158033876062e-05,Cluster_2
197,laurenwilliams,9,0.3049031243850635,134,34,193,19,0.0,151,8,23,0.0008247868485326585,Cluster_1
198,williamssarah,8,0.19267639648670032,137,40,10,18,0.0,0,0,0,0.000782844271273208,Cluster_3
199,arobinson,1,0.12907124693088146,0,14,60,1,22.47106792070942,121,0,0,7.008061656229866e-05,Cluster_3
200,melissabarnes,12,0.29785939839021125,198,20,13,25,0.0,0,19,2,0.001572027212587442,Cluster_3
201,colleenbrennan,17,0.7800480870400435,275,372,80,22,8.719798430042765,91,6,0,0.000914986911738626,Cluster_3
202,lhill,37,0.4716263651952617,694,400,1,67,0.0,0,16,41,0.0034699045506844414,Cluster_3
203,carlosbrown,35,0.22748160369353998,770,52,1,78,0.0,0,49,0,0.002209637443572873,Cluster_1
204,dmurphy,0,0.1661849996097492,0,2,11,0,inf,0,0,0,0.0,Cluster_2
205,james64,1,0.3327294765103791,26,87,5,1,59.46422350085686,0,0,2,0.00014528496214903105,Cluster_1
206,wendy62,15,0.9399243728857088,274,543,9,21,62.11015164234918,34,30,5,0.0004915472919967382,Cluster_2
207,gregorylopez,15,0.3430267125900244,358,389,14,25,40.68906845913167,22,79,56,0.0005694752419285518,Cluster_1
208,lauren62,15,0.9881240759546354,365,124,59,40,39.60624361406652,0,33,37,0.0013603367416103176,Cluster_2
209,barbara41,2390,0.4852304557653562,47843,428,10,4785,62.91280046435341,4,1250,722,0.15134118036439784,Cluster_3
210,vasquezalison,17,0.17916391829015088,355,36,5,40,30.746707474580635,42,0,15,0.0007564451365844877,Cluster_1
211,meredith28,40,0.8911400917935094,788,102,11,76,21.063338958157228,0,0,0,0.0038782921801681926,Cluster_3
212,jlindsey,30,0.4603553731348269,540,9,6,50,0.0,0,28,18,0.006173919359082913,Cluster_2
213,tonya52,19,0.7096713435045244,477,56,4,47,0.0,0,38,0,0.0007561894834783175,Cluster_2
214,lewislisa,4,0.9837115832091518,42,362,1,8,97.70380368730443,1,0,3,0.0001825978652322949,Cluster_3
215,juan79,23,0.050175350319974,493,11,22,48,0.0,8,5,2,0.0018581582032530803,Cluster_3
216,zford,2,0.09669455978756714,92,7,8,13,15.808785025824385,48,0,0,0.0002955792654013511,Cluster_2
217,miranda26,5,0.7204567414627562,72,39,85,2,0.0,66,0,0,0.0005613068793358994,Cluster_3
218,xsmith,3,0.281825003295472,111,22,2,10,30.378001044625645,35,0,18,0.00023529139447294522,Cluster_1
219,suttonfrank,8,0.18430139695009906,198,106,8,19,6.815993761328029,0,29,6,0.0008121159838429573,Cluster_1
220,yhendrix,237,0.039361879819729495,4826,14,304,488,2.5910106393615857,159,132,104,0.05156467674099915,Cluster_3
221,philip93,0,0.021846711986201806,0,730,4,1,inf,0,23,0,0.0,Cluster_2
222,floresnorma,20,0.7744856031197909,335,3,14,42,0.0,80,20,44,0.0034125233406202167,Cluster_2
223,timothy09,0,0.13443342736955,0,316,3,0,inf,10,0,0,0.0,Cluster_3
224,stewartpamela,3,0.4677206159711509,70,8,2,7,29.38069456576095,0,14,45,9.009743494783659e-05,Cluster_1
225,urose,37,0.605896815179483,742,1,204,75,0.0,144,0,4,0.00794187270429963,Cluster_2
226,jacksonaustin,8,0.42835180056884625,140,50,25,17,19.488591294680155,40,0,9,0.0008018539590117927,Cluster_2
227,iwilson,1,0.027106652336233106,0,20,24,0,12.182171595791921,0,0,0,6.253150015985995e-05,Cluster_3
228,justin52,2,0.7835015025879088,63,4,1,14,7.7697968853249275,0,0,18,9.7852254615874e-05,Cluster_1
229,debra21,20,0.010513224541653488,498,1,34,49,15.232783978402196,0,12,26,0.0008873648560210418,Cluster_3
230,laurenhorton,2,0.761889894377484,63,32,113,0,27.10169849147747,117,0,0,0.0004020406616285668,Cluster_1
231,qhanson,10,0.8933044937881227,230,191,112,22,45.91939226818691,66,0,0,0.0015149446681873156,Cluster_1
232,eguerrero,7,0.4328399210571723,168,94,54,15,23.806184942678136,63,37,0,0.0010784244717716239,Cluster_2
233,xthomas,2,0.5355424730977982,59,36,3,19,18.561692340771906,0,0,0,0.0002574979323487162,Cluster_3
234,lhines,184,0.47698339261765377,3726,78,32,377,0.0,32,76,56,0.0329656834585793,Cluster_1
235,llittle,19,0.3892086186234388,399,31,54,40,0.0,92,0,0,0.003934780614930149,Cluster_1
236,peterwallace,0,0.8874245353703603,0,2,1,0,inf,0,0,0,0.0,Cluster_3
237,michaelwilliams,9,0.8939335106699905,140,2,3,18,0.0,7,0,0,0.0007157842067609733,Cluster_1
238,donaldfleming,2,0.3358163646415345,27,22,76,7,33.11614606825593,0,0,36,0.0004449606840087282,Cluster_2
239,richardbaker,26,0.615069754014698,535,24,74,38,0.0,0,34,21,0.0012269240787048123,Cluster_2
240,jamesboyd,2,0.9269075621458641,24,153,1,5,60.1278819118422,0,1,5,0.00033139228828373907,Cluster_2
241,weavererica,6,0.9620584989413515,135,129,66,13,0.0,0,49,13,0.001010885460759391,Cluster_2
242,llee,15,0.5089590404220475,321,98,23,25,20.020689046301072,77,14,7,0.001945855868847439,Cluster_2
243,kaitlynross,27,0.4528248052843268,581,19,64,62,0.41087662763734045,0,0,0,0.0021816225881604386,Cluster_3
244,cookkevin,1,0.2786943159285258,84,2,7,19,33.7753044645964,42,0,8,0.00021851391802189823,Cluster_1
245,lucasfuller,4,0.95887187319041,83,69,52,11,0.0,35,26,0,0.00043157768446121274,Cluster_3
246,nathanschroeder,3,0.14281430447286736,0,85,71,5,16.770060872096074,37,0,18,9.372798863187803e-05,Cluster_1
247,elizabethtorres,2,0.579829576047725,22,0,11,11,0.0,79,0,0,0.00022931237134772993,Cluster_2
